,n_sample,dbi,mia,silhouette,batch_fit_time,year,n_clusters
0,25079,8.015651272362923,6.520088141765941,0.09225202268963517,3.490199565887451,1994,14
1,36302,22.87834380468297,6.928499816825944,0.10416845791115734,3.6422083377838135,1995,14
2,21265,7.001662080416858,6.7101399833210476,0.22777727438112846,3.4071946144104004,1996,14
3,96500,6.70174303541239,6.528683082288115,0.28876323832923734,3.906223773956299,1997,14
4,176523,7.708348178957065,6.504654577520151,0.2512915924216629,4.154237508773804,1998,14
5,291056,10.171599746392202,6.582110114762612,0.24553069823338688,4.559261083602905,1999,14
6,347826,9.663091950995994,6.542735208157382,0.18669113572151044,4.713269472122192,2000,14
7,206824,7.964731793699081,6.53642858844566,0.31609197031855035,4.279244661331177,2001,14
8,227483,7.436509952839203,6.790956830427515,0.30078371378956,4.242242813110352,2002,14
9,234674,10.140123025281431,6.587445695614928,0.26692109166500194,4.468255519866943,2003,14
