k,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,n_clust,cluster_size
5,5.380392131486944,3.1049019611057114,3.2715686292697996,3.1142156931991667,2.1470588147275,3.38480392281039,6.741666675928762,8.129411769556064,3.7196078602881992,2.8490196015028397,4.816666659698181,4.5289215579921125,4.387254877563785,4.922058807685972,5.674509823979699,5.054411767379325,8.51029410286277,12.992156879428556,13.333823497973238,17.810294033557764,18.352941212408684,19.627941112307944,16.37549017369747,9.546568688954792,10,493
6,1.8885937891651527,1.6283450042838048,1.536297687596879,1.4263282477810029,1.5106767361782782,1.8094786342772124,2.9780544853495323,3.921726627541049,5.848865450934196,7.240102169854457,8.897736568054114,9.623764628490576,8.139566562400548,5.99130293361514,4.766284900129426,3.504388026538872,2.6818350339491,3.0711116561876137,3.661263423717087,4.6440733658560704,4.302035747539691,3.980830667552301,3.056081289217314,2.0765990793412805,10,3126
7,0.23188807973890688,0.2430190697769847,0.174895500176047,0.16817829969028633,0.5130322281336577,0.7883150314748811,4.744733606579533,1.172264300620085,0.4940539628201932,0.7622827936552073,1.0316981543182282,0.6029016024972262,1.0720249797724057,0.8517042267544751,0.8960081999369881,0.39826697085640933,0.7001622844226004,0.7176426330091137,1.0299780689964166,1.4615635030233023,1.4135644480978187,2.3145623574131413,0.6189298200502731,0.3937530496076011,10,1335
8,0.27540065995788643,0.2721420886733493,0.2607544005184659,0.26527301732316344,0.2927996828095116,0.45457212579129885,0.5556494070243141,0.5491509788166347,0.5109703450833255,0.4596141998298542,0.40674984960118277,0.3934203316698333,0.39615572754215295,0.40924291976826466,0.4148022033072872,0.40577235480833096,0.4577725476902613,0.5213989881304656,0.7939888853316601,1.0003957824279481,1.0010786906450593,0.7723766261301112,0.48509279179388926,0.3290461647562954,10,18930
9,4.312847218191665,2.788194440667414,3.0409722249023616,2.721874996579977,3.330902756553971,8.917361099428188,10.210416662429148,11.508680559280847,7.291666661803094,7.039930553692909,8.210069456163586,6.708333302703168,7.730694405486187,10.092013876005591,10.48194441768444,11.686458331429295,16.289236116326517,18.28888890809483,16.116666690342953,14.919097166094517,17.179513913061886,9.974999991556007,6.555902765856847,4.707291647998824,10,459
0,1.5172231334336,1.0551060596480968,1.5149545409067564,0.8945000035067397,1.2145833266390995,3.9279545479538767,5.495484831658276,4.959606053392317,3.082359844226052,2.686909109805569,4.065106032162229,2.5962499835048667,3.3685605975827486,4.425208318244779,3.335492421534252,3.4640757470589247,2.9372575606473474,4.812053027647462,9.78713253637155,15.074356002789557,10.804613598819936,5.805340940753619,3.6577462197253197,2.2146325741866324,15,1261
1,0.277939217533835,0.27327655582067156,0.27011266371648684,0.28488314160306444,0.2972037136129753,0.504894918650792,0.6149032156027088,0.5538112495950229,0.5479721904456418,0.45657535017978323,0.41268862315988486,0.3906030803269146,0.4006748121388815,0.4058570724408512,0.41367999064272926,0.4207669215173117,0.4670025379753513,0.5141725075119287,0.8107844816067034,0.9832406759973721,1.0003791304012764,0.812293174108728,0.5069245415815139,0.33264900445318674,15,19076
2,1.403345609588003,1.0684506826269635,1.1912325469897156,1.2016015684806265,1.2872933434916654,2.1266061833114986,3.8983214712217724,3.7264502139621847,2.682549049453576,2.423609588341954,2.360889310904024,2.190372721481014,2.2506630993017582,2.2441047772738463,2.459642099200891,2.3629045098425823,2.5011741294629046,3.5162525330973944,6.216904598268877,5.798446665507972,5.536591476472396,4.706489114886597,3.330766628447613,1.9322823777040434,15,7271
3,3.7924242369431154,2.8940448626063957,2.0157564110242023,2.0513044795594535,2.387035250735398,4.02567309482644,4.621548097341871,6.295721152439142,7.009746794899305,7.736942294841777,10.627397439848538,12.264990384762104,11.381445529608007,10.85292631530991,10.540073723938223,9.975217955043682,11.406903854547402,12.105993589147545,12.874855759816292,12.790249982705483,11.10474361746739,8.104993591323877,7.3269743519620265,4.867362149250813,15,834
4,3.5249999562899266,1.4083333164453506,2.1166666373610497,0.7916666592160859,1.1583333524564905,3.47500000273188,8.766666690508522,11.03333342075348,11.800000111262007,11.508333245913189,11.983333428700767,11.15833334128062,12.133333365122475,13.025000015894573,10.166666785875957,17.550000031789146,19.608333269755047,16.558333317438766,20.96666653951009,10.316666781902311,10.108333508173622,5.441666702429455,4.550000021855038,3.5916665693124137,15,153
