k,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,n_clusters,cluster_sizes
5,1.846238647825562,1.785538259328339,1.706939037712883,1.8540207520924539,2.2572691913800886,3.6755276476427805,4.149890341553514,3.7331387815192514,3.474643317132164,3.17957198423058,3.0232814531628374,2.8224383915101696,2.9465629086961385,2.9680756965873716,3.1678634620256365,3.331258105858194,3.9038851558011305,4.52064025254788,5.6152075129994765,5.512522102985126,4.4974967592049175,3.3488550885230066,2.5199092120516817,1.9784695227013178,8,61200
6,2.328787877958155,2.5765151574248164,2.5090909018322374,2.581060603119884,2.5522727327364865,3.306818192570724,5.0416666482377686,6.2363636353984475,9.393181834285231,9.995454568980318,10.296487611700517,11.35757572328051,12.668939326522928,9.836363620265868,8.358333294533871,7.89015147101247,7.764393940963077,9.629545429665031,8.179545446976341,7.9818181941906605,6.946212120749283,4.256818173594321,3.103030314951232,2.700757568871433,8,4810
7,6.160000048577786,5.996666659290591,8.183333332339924,7.750000016763806,9.536666641632717,16.04333321750164,18.493333235383037,16.843333343664803,16.510000084837277,14.403333266576132,16.27999998132388,13.989999944965046,13.456666613618532,15.003333300352097,15.813333332538601,17.383333335320156,16.826666633288063,19.990000009536747,23.469999849796295,21.89333336551984,17.803333391745884,11.879999925692877,7.410000006357829,5.7266666789849605,8,1910
0,0.3221552704910184,0.31021010838026686,0.3070303969008402,0.32146828581683606,0.4430745158053234,0.6238055297860111,0.6834256449280744,0.5981050215370008,0.5878477546757566,0.5618553004966372,0.5410112414437304,0.5214274076214599,0.5213819376710358,0.5119166939871107,0.5083054047021434,0.5325628536807466,0.6099030303399192,0.7877043459604586,0.9954610642306962,0.9857550025834743,0.8268250079541754,0.6096309686449685,0.4359796149170807,0.3613206293220705,11,101923
1,1.0733836347874375,1.0309765745543693,1.0177112194706144,1.1779067160398686,1.6295147351686963,2.4577754140688786,2.5647974388872656,2.1664006610188498,2.1045933229864304,2.0674058698765925,2.0374982239128685,2.056029324314604,2.0605541438850508,2.006522158151828,2.093867781121252,2.5610588644344348,4.1809309869579705,7.098104469590934,6.153571986408946,3.7599622396307435,2.6352195789453825,1.9068774069842649,1.391930363214408,1.162014501794382,11,28782
2,5.254720354903776,4.85231170430779,4.6992542853603485,4.8284116299397395,5.582804224235231,7.401488929722125,8.899042995851708,9.412848613303877,9.689689054680406,9.406497479615885,9.093560316832614,9.012652233993052,8.976431224991362,8.971178214617392,9.187259610209114,9.684613083867816,10.812801380685515,13.00557506780085,15.558970638191472,15.668375578125799,13.480094792826858,10.795749429749016,7.943713977904502,6.1597688242204125,11,6299
3,1.8414592258540292,1.7254910507026926,1.6711828391091688,1.763777757518881,1.9123649082777676,2.455804679387677,3.359354792107702,4.337230035653492,5.103419014564439,5.275943237886274,5.22025865746856,5.156494119243819,4.91783709220967,4.460126178772094,4.064509004942166,3.847591243097335,3.8104570348325795,3.9050074296217256,4.308365761710097,4.390250063191117,3.8943813745004103,3.1431539591899016,2.4300439720074953,1.989648390020518,11,25244
4,2.147511121060321,2.0565042882495357,2.0325678736126336,2.1972562867153664,2.9993820863868774,4.9786701092750105,5.416654689740505,4.063074673168763,3.2314604149688755,2.871182955880742,2.732247265457869,2.7074724786795668,2.7354477801969654,2.7648158479917306,2.9267237500602112,3.178229993805033,3.793592885392237,4.91389477007079,6.574435721480903,7.155089011217067,6.092514273382799,4.746010112628708,3.314022588540693,2.489057343484826,11,28959
5,2.6556480094509536,2.4239690760251777,2.369164749517388,2.578822425951329,2.930262277058897,3.512919842976287,4.764329038324038,5.945051760440208,7.130856047716075,7.786515259104293,8.118553946618341,8.018365331001014,8.055631417542328,8.020174561846607,7.931672190950071,7.929913722692231,8.101390329931695,8.644935608678495,9.104478531338865,8.466887089883834,7.163653407213964,5.547460701282051,3.9235497477961965,2.95521939557254,11,11389
6,0.8499708959990536,0.8131729163574599,0.8001270939491512,0.8956597939152828,1.2794008149008564,1.9701946126674483,1.97620317556181,1.4617166768008305,1.3007637040694287,1.271287142713964,1.233276892761905,1.1967136366318776,1.231059328745718,1.206969661235752,1.1830186722695075,1.198928092719739,1.2539555788738492,1.7656893358768961,4.199526341001462,5.864922911788871,3.977609684012486,2.3394403077072456,1.4000443005542111,1.0296223408590597,11,32278
